"no","title","oecd","score","q","issn1","issn2"
82,"Арктика: экология и экономика","01.05.00","0,524","1","2223-4594",NA
83,"Нанотехнологии в строительстве: научный интернет-журнал","02.01.00","0,524","1",NA,"2075-8545"
84,"Population and Economics","05.04.00","0,522","1",NA,"2658-3798"
85,"Письма в Журнал экспериментальной и теоретической физики","01.03.00","0,519","1","0370-274X",NA
86,"Вестник археологии, антропологии и этнографии","06.01.00","0,517","1","1811-7465","2071-0437"
87,"Вестник Московского университета. Серия 1: Математика. Механика","01.01.00","0,517","1",NA,"0579-9368"
88,"Вулканология и сейсмология","01.05.00","0,516","1","0203-0306",NA
89,"Вестник Санкт-Петербургского университета. Прикладная математика. Информатика. Процессы управления","01.01.00","0,508","1","1811-9905","2542-2251"
90,"Вестник Санкт-Петербургского университета. Математика. Механика. Астрономия","01.01.00","0,508","1","1025-3106","2587-5884"
91,"Russian Journal of Economics","05.02.00","0,503","1","2618-7213","2405-4739"
92,"Физиология растений","01.06.00","0,501","1","0015-3303",NA
93,"Математическая теория игр и ее приложения","01.01.00","0,496","1","2074-9872",NA
94,"Известия Российской академии наук. Механика твердого тела","02.03.00","0,496","1","1026-3519",NA
95,"Чебышевский сборник","01.01.00","0,495","1","2226-8383",NA
96,"Геология рудных месторождений","01.05.00","0,494","1","0016-7770",NA
97,"Водные ресурсы","01.05.00","0,491","1","0321-0596",NA
98,"Известия Российской академии наук. Физика атмосферы и океана","01.05.00","0,491","1","1023-6317",NA
99,"Дискретный анализ и исследование операций","01.01.00","0,489","1","1560-7542",NA
100,"Тихоокеанская геология","01.05.00","0,481","1","0207-4028",NA
101,"Полис. Политические исследования","05.06.00","0,480","1","1026-9487","1684-0070"
102,"Прикладная биохимия и микробиология","01.06.00","0,479","1","0555-1099",NA
103,"Invertebrate Zoology","01.06.00","0,477","1","1812-9250","1814-0815"
104,"Геохимия","01.05.00","0,477","1","0016-7525",NA
105,"Астрономический журнал","01.03.00","0,476","1","0004-6299",NA
106,"Журнал экспериментальной и теоретической физики","01.03.00","0,473","1","0044-4510",NA
107,"Агрохимия","04.01.00","0,472","1","0002-1881",NA
108,"Этнография","06.01.00","0,471","1","2618-8600","2687-0789"
109,"Мембраны и мембранные технологии","01.04.00","0,468","1","2218-1172","2218-1180"
110,"Солнечно-земная физика","01.03.00","0,467","1","2412-4737","2712-9640"
111,"Вычислительные методы и программирование","01.01.00","0,466","1",NA,"1726-3522"
112,"Известия Саратовского университета. Новая серия. Серия: Математика. Механика. Информатика","01.01.00","0,464","1","1816-9791","2541-9005"
113,"Поволжская Археология","06.01.00","0,463","1","2306-4099","2500-2856"
114,"Астрономический вестник. Исследования Солнечной системы","01.03.00","0,456","1","0320-930X",NA
115,"Древняя Русь. Вопросы медиевистики","06.01.00","0,452","1","2071-9574","2071-9590"
116,"Коллоидный журнал","01.04.00","0,452","1","0023-2912",NA
117,"Мониторинг общественного мнения: экономические и социальные перемены","05.04.00","0,452","1",NA,"2219-5467"
118,"Вестник Санкт-Петербургского университета. История","06.01.00","0,452","1","1812-9323","2541-9390"
119,"Литология и полезные ископаемые","01.05.00","0,444","1","0024-497X",NA
120,"Нижневолжский археологический вестник","06.01.00","0,444","1","2587-8123","2658-5995"
121,"Квантовая электроника","01.03.00","0,444","1","0368-7147",NA
122,"Теплофизика и аэромеханика","02.03.00","0,440","1","0869-8635",NA
123,"Океанология","01.05.00","0,438","1","0030-1574",NA
124,"Russian Journal of Linguistics","06.02.00","0,438","1","2687-0088","2686-8024"
125,"Прикладная дискретная математика","01.01.00","0,438","1","2071-0410","2311-2263"
126,"Труды ВИАМ","02.01.00","0,438","1",NA,"2307-6046"
127,"Social Evolution and History","06.01.00","0,436","1","1681-4363",NA
128,"Физика горения и взрыва","01.03.00","0,434","1","0430-6228",NA
129,"Морской гидрофизический журнал","01.05.00","0,429","1","0233-7584",NA
130,"Геофизические процессы и биосфера","01.05.00","0,424","1","1811-0045","2311-9578"
131,"Журнал аналитической химии","01.04.00","0,424","1","0044-4502",NA
