"no","issn","title","title_main","comments","subjects","subj_codes"
1865,"2618-897X","Полилингвиальность и транскультурные практики / Polylinguality & Transcultural Practices (до 27.05.2019 г. наименование в Перечне «Вестник Российского университета дружбы народов. Серия «Вопросы образования: языки и специальность» ISSN 2312-8011)","Полилингвиальность и транскультурные практики / Polylinguality & Transcultural Practices","(до 27.05.2019 г. наименование в Перечне «Вестник Российского университета дружбы народов. Серия «Вопросы образования: языки и специальность» ISSN 2312-8011)","по 16.10.2022: 10.02.02 – Языки народов Российской Федерации || с 01.02.2022: 5.8.7. Методология и технология профессионального образования || с 20.07.2022: 5.9.1. Русская литература и литературы народов Российской Федерации | 5.9.2. Литературы народов мира | 5.9.5. Русский язык. Языки народов России | 5.9.8. Теоретическая, прикладная и сравнительно-сопоставительная лингвистика | 5.10.1. Теория и история культуры, искусства || с 28.12.2018: 10.01.02 – Литература народов","10.01.02 | 10.02.02 | 5.10.1 | 5.8.7 | 5.9.1 | 5.9.2 | 5.9.5 | 5.9.8"
1866,"2587-7011","Полилог / Polylogos","Полилог / Polylogos",NA,"с 01.02.2022: 5.5.2. Политические институты, процессы, технологии | 5.7.1. Онтология и теория познания | 5.7.2. История философии | 5.7.6. Философия науки и техники | 5.7.7. Социальная и политическая философия || с 25.12.2020: 23.00.01 – Теория и философия","23.00.01 | 5.5.2 | 5.7.1 | 5.7.2 | 5.7.6 | 5.7.7"
1867,"2415-7260","Полимерные материалы и технологии","Полимерные материалы и технологии",NA,"по 16.10.2022: 05.17.06 – Технология и переработка полимеров и композитов || с 01.02.2022: 1.4.3. Органическая химия | 1.4.7. Высокомолекулярные соединения | 1.4.8. Химия элементоорганических соединений | 1.4.12. Нефтехимия | 2.6.10. Технология органических веществ | 2.6.15. Мембраны и мембранная технология || с 26.03.2019: 05.17.06 – Технология и переработка","05.17.06 | 05.17.06 | 1.4.12 | 1.4.3 | 1.4.7 | 1.4.8 | 2.6.10 | 2.6.15"
1868,"1026-9487","ПОЛИС. Политические исследования","ПОЛИС. Политические исследования",NA,"по 16.10.2022: 23.00.03 – Политическая культура и идеологии | 23.00.05 – Политическая регионалистика. Этнополитика | 23.00.06 – Конфликтология || с 01.02.2022: 5.4.5. Политическая социология | 5.5.2. Политические институты, процессы, технологии | 5.5.4. Международные отношения || с 28.12.2018: 23.00.01 – Теория и философия","23.00.01 | 23.00.03 | 23.00.05 | 23.00.06 | 5.4.5 | 5.5.2 | 5.5.4"
1869,"1990-4665","Политематический сетевой электронный научный журнал Кубанского государственного аграрного университета","Политематический сетевой электронный научный журнал Кубанского государственного аграрного университета",NA,"по 16.10.2022: 06.01.05 – Селекция и семеноводство сельскохозяйственных растений | 06.02.10 – Частная зоотехния, технология производства продуктов животноводства || с 01.02.2022: 4.1.1. Общее земледелие и растениеводство | 4.2.3. Инфекционные болезни и иммунология животных || с 12.02.2019: 05.20.01 – Технологии и средства","05.20.01 | 06.01.05 | 06.02.10 | 4.1.1 | 4.2.3"
1870,"2520-2235","Политехнический вестник. Серия. Интеллект. Инновация. Инвестиции.","Политехнический вестник. Серия. Интеллект. Инновация. Инвестиции.",NA,"с 01.02.2022: 1.3.3. Теоретическая физика | 1.3.8. Физика конденсированного состояния | 1.3.14. Теплофизика и теоретическая теплотехника","1.3.14 | 1.3.3 | 1.3.8"
1871,"2520-2227","Политехнический вестник. Серия: Инженерные исследования","Политехнический вестник. Серия: Инженерные исследования",NA,"с 01.02.2022: 2.6.1. Металловедение и термическая обработка металлов и сплавов | 2.6.2. Металлургия черных, цветных и редких металлов | 2.6.5. Порошковая металлургия и композиционные материалы","2.6.1 | 2.6.2 | 2.6.5"
1872,"1999-2629","Политическая лингвистика","Политическая лингвистика",NA,"по 16.10.2022: 10.02.01 – Русский язык | 10.02.04 – Германские языки | 10.02.19 – Теория языка | 10.02.20 – Сравнительно-историческое типологическое и сопоставительное языкознание || с 28.12.2018: 10.01.10 – Журналистика","10.01.10 | 10.02.01 | 10.02.04 | 10.02.19 | 10.02.20"
1873,"1998-1775","Политическая наука","Политическая наука",NA,"по 16.10.2022: 23.00.03 – Политическая культура и идеологии | 23.00.05 – Политическая регионалистика. Этнополитика || с 01.02.2022: 5.5.2. Политические институты, процессы, технологии | 5.5.4. Международные отношения || с 28.12.2018: 23.00.01 – Теория и философия","23.00.01 | 23.00.03 | 23.00.05 | 5.5.2 | 5.5.4"
1874,"2078-5089","ПОЛИТИЯ. Журнал политической философии и социологии политики","ПОЛИТИЯ. Журнал политической философии и социологии политики",NA,"по 16.10.2022: 23.00.03 – Политическая культура и идеологии | 23.00.05 – Политическая регионалистика. Этнополитика | 23.00.06 – Конфликтология || с 01.02.2022: 5.5.2. Политические институты, процессы, технологии | 5.5.4. Международные отношения || с 28.12.2018: 23.00.01 – Теория и философия","23.00.01 | 23.00.03 | 23.00.05 | 23.00.06 | 5.5.2 | 5.5.4"
1875,"1819-1495","Политравма/Polytrauma","Политравма/Polytrauma",NA,"с 01.02.2022: 3.1.8. Травматология и ортопедия | 3.1.9. Хирургия | 3.3.3. Патологическая физиология || с 13.10.2021: 3.1.10. Нейрохирургия | 3.1.12. Анестезиология и реаниматология","3.1.10 | 3.1.12 | 3.1.8 | 3.1.9 | 3.3.3"
1876,"2222-1964","Полицейская деятельность","Полицейская деятельность",NA,"с 01.02.2022: 5.8.1. Общая педагогика, история педагогики и образования | 5.8.7. Методология и технология профессионального образования","5.8.1 | 5.8.7"
1877,"2409-7810","Полицейская и следственная деятельность","Полицейская и следственная деятельность",NA,"по 16.10.2022: 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.04 – Финансовое право; налоговое право; бюджетное право | 12.00.05 – Трудовое право; право социального обеспечения | 12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право | 12.00.07 – Корпоративное право; конкурентное право; энергетическое право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность | 12.00.14 – Административное право; административный процесс || с 28.12.2018: 12.00.02 – Конституционное право","12.00.02 | 12.00.03 | 12.00.04 | 12.00.05 | 12.00.06 | 12.00.07 | 12.00.08 | 12.00.09 | 12.00.11 | 12.00.12 | 12.00.14"
1878,"2618-7426","Постсоветские исследования","Постсоветские исследования",NA,"с 22.10.2021: 5.6.7. История международных отношений и внешней политики | 5.5.4. Международные отношения","5.5.4 | 5.6.7"
1879,"2311-6412","Постсоветский материк","Постсоветский материк",NA,"с 01.02.2022: 5.2.5. Мировая экономика | 5.5.2. Политические институты, процессы, технологии","5.2.5 | 5.5.2"
1880,"2219-5947","Право в Вооруженных Силах - Военно-правовое обозрение","Право в Вооруженных Силах - Военно-правовое обозрение",NA,"по 16.10.2022: 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.10 – Международное право; Европейское право | 12.00.14 – Административное право; административный процесс || с 28.12.2018: 12.00.08 – Уголовное право и || с 31.10.2019: 12.00.03 – Гражданское право | 20.00.00 – военные науки","12.00.03 | 12.00.08 | 12.00.10 | 12.00.11 | 12.00.14 | 20.00.00"
1881,"1815-1337","Право и государство: теория и практика","Право и государство: теория и практика",NA,"по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.04 – Финансовое право; налоговое право; бюджетное право | 12.00.05 – Трудовое право; право социального обеспечения | 12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право | 12.00.07 – Корпоративное право; конкурентное право; энергетическое право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.10 – Международное право; Европейское право | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность | 12.00.13 – Информационное право | 12.00.14 – Административное право; административный процесс | 12.00.15 – Гражданский процесс; арбитражный процесс || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.04 | 12.00.05 | 12.00.06 | 12.00.07 | 12.00.08 | 12.00.09 | 12.00.10 | 12.00.11 | 12.00.12 | 12.00.13 | 12.00.14 | 12.00.15"
1882,"1563-020X","Право и образование","Право и образование",NA,"по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право || с 01.02.2022: 5.6.1. Отечественная история | 5.6.5. Историография, источниковедение, методы исторического исследования | 5.8.7. Методология и технология профессионального образования || с 23.09.2022: 5.1.1. Теоретико-исторические правовые науки | 5.1.2. Публично-правовые | 5.1.3. Частно-правовые | 5.1.4. Уголовно-правовые науки | 5.1.5. Международно-правовые науки || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 5.1.1 | 5.1.2 | 5.1.3 | 5.1.4 | 5.1.5 | 5.6.1 | 5.6.5 | 5.8.7"
1883,"1811-9018","Право и политика","Право и политика",NA,"по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.04 – Финансовое право; налоговое право; бюджетное право | 12.00.05 – Трудовое право; право социального обеспечения | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.10 – Международное право; Европейское право | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность | 12.00.14 – Административное право; административный процесс | 12.00.15 – Гражданский процесс; арбитражный процесс || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.04 | 12.00.05 | 12.00.08 | 12.00.09 | 12.00.10 | 12.00.11 | 12.00.12 | 12.00.14 | 12.00.15"
1884,"2411-2275","Право и практика","Право и практика",NA,"по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.04 – Финансовое право; налоговое право; бюджетное право | 12.00.05 – Трудовое право; право социального обеспечения | 12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право | 12.00.07 – Корпоративное право; конкурентное право; энергетическое право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.10 – Международное право; Европейское право | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность | 12.00.14 – Административное право; административный процесс || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.04 | 12.00.05 | 12.00.06 | 12.00.07 | 12.00.08 | 12.00.09 | 12.00.10 | 12.00.11 | 12.00.12 | 12.00.14"
1885,"2307-3306","Право и современные государства","Право и современные государства",NA,"по 16.10.2022: 12.00.01 – Теория и история права и государства; история учений о праве и государстве | 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.14 – Административное право; административный процесс | 23.00.01 – Теория и философия политики, история и методология политической науки || с 01.02.2022: 5.2.1. Экономическая теория | 5.5.2. Политические институты, процессы, технологии | 5.5.4. Международные отношения || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 12.00.01 | 12.00.02 | 12.00.08 | 12.00.14 | 23.00.01 | 5.2.1 | 5.5.2 | 5.5.4"
1886,"2073-8420","Право и управление. XXI век","Право и управление. XXI век",NA,"по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.10 – Международное право; Европейское право | 12.00.14 – Административное право; административный процесс || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.10 | 12.00.14"
1887,"2224-9133","Право и управление","Право и управление",NA,"с 20.07.2022: 5.1.3. Частно-правовые | 5.1.4. Уголовно-правовые науки","5.1.3 | 5.1.4"
1888,"0869-7671","Право и экономика","Право и экономика",NA,"с 28.12.2018: 12.00.03 – Гражданское право","12.00.03"
1889,"2072-4322","Право интеллектуальной собственности","Право интеллектуальной собственности",NA,"с 28.12.2018: 12.00.03 – Гражданское право","12.00.03"
1890,"2588-0012","Право: история и современность","Право: история и современность",NA,"по 16.10.2022: 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право || с 04.02.2020: 12.00.01 – Теория и история права || с 20.07.2022: 5.1.1. Теоретико-исторические правовые науки | 5.1.2. Публично-правовые | 5.1.3. Частно-правовые | 5.1.4. Уголовно-правовые науки","12.00.01 | 12.00.08 | 5.1.1 | 5.1.2 | 5.1.3 | 5.1.4"
1891,"2072-8166","Право. Журнал Высшей школы экономики","Право. Журнал Высшей школы экономики",NA,"по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.10 – Международное право; Европейское право || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.10"
1892,"2307-5198","Правовая жизнь","Правовая жизнь",NA,"по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.14 – Административное право; административный процесс || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.14"
1893,"1994-1404","Правовая информатика","Правовая информатика",NA,"с 15.11.2021: 2.3.1. Системный анализ, управление и обработка информации | 5.1.2. Публично-правовые","2.3.1 | 5.1.2"
1894,"1992-5867","Правовая культура","Правовая культура",NA,"по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.14 – Административное право; административный процесс | 12.00.15 – Гражданский процесс; арбитражный процесс || с 20.07.2022: 5.1.1. Теоретико-исторические правовые науки | 5.1.2. Публично-правовые | 5.1.3. Частно-правовые | 5.1.4. Уголовно-правовые науки || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.08 | 12.00.11 | 12.00.14 | 12.00.15 | 5.1.1 | 5.1.2 | 5.1.3 | 5.1.4"
1895,"1608-8794","Правовая политика и правовая жизнь","Правовая политика и правовая жизнь",NA,"по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.04 – Финансовое право; налоговое право; бюджетное право | 12.00.10 – Международное право; Европейское право | 12.00.14 – Административное право; административный процесс | 12.00.15 – Гражданский процесс; арбитражный процесс | 12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно– розыскная деятельность | 12.00.13 – Информационное право || с 05.04.2021: 12.00.05 – Трудовое право; право || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.04 | 12.00.05 | 12.00.06 | 12.00.08 | 12.00.09 | 12.00.10 | 12.00.12 | 12.00.13 | 12.00.14 | 12.00.15"
1896,"2658-6037","Правоведение (до 25.12.2020 наименование в Перечне «Известия высших учебных заведений. Правоведение» ISSN 0131- 8039)","Правоведение","(до 25.12.2020 наименование в Перечне «Известия высших учебных заведений. Правоведение» ISSN 0131- 8039)","по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.04 – Финансовое право; налоговое право; бюджетное право | 12.00.05 – Трудовое право; право социального обеспечения | 12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право | 12.00.07 – Корпоративное право; конкурентное право; энергетическое право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.10 – Международное право; Европейское право | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность | 12.00.13 – Информационное право | 12.00.14 – Административное право; административный процесс | 12.00.15 – Гражданский процесс; арбитражный процесс || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.04 | 12.00.05 | 12.00.06 | 12.00.07 | 12.00.08 | 12.00.09 | 12.00.10 | 12.00.11 | 12.00.12 | 12.00.13 | 12.00.14 | 12.00.15"
1897,"1818-4227","Правовое государство: теория и практика","Правовое государство: теория и практика",NA,"по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.04 – Финансовое право; налоговое право; бюджетное право | 12.00.05 – Трудовое право; право социального обеспечения | 12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право | 12.00.07 – Корпоративное право; конкурентное право; энергетическое право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.10 – Международное право; Европейское право | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность | 12.00.13 – Информационное право | 12.00.14 – Административное право; административный процесс | 12.00.15 – Гражданский процесс; арбитражный процесс || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.04 | 12.00.05 | 12.00.06 | 12.00.07 | 12.00.08 | 12.00.09 | 12.00.10 | 12.00.11 | 12.00.12 | 12.00.13 | 12.00.14 | 12.00.15"
