"no","issn","title","title_main","comments","subjects","subj_codes"
1,"2587-7534","Abyss (Вопросы философии, политологии и социальной антропологии)","Abyss","(Вопросы философии, политологии и социальной антропологии)","с 28.09.2021: 5.6.4. Этнология, антропология и этнография | 5.7.6. Философия науки и техники | 5.7.7. Социальная и политическая философия | 5.7.8. Философская антропология, философия культуры | 5.5.2. Политические институты, процессы, технологии","5.5.2 | 5.6.4 | 5.7.6 | 5.7.7 | 5.7.8"
2,"2077-9038","Academia. Архитектура и строительство","Academia. Архитектура и строительство",NA,"с 01.02.2022: 2.1.1. Строительные конструкции, здания и сооружения | 2.1.2. Основания и фундаменты, подземные сооружения | 2.1.3. Теплоснабжение, вентиляция, кондиционирование воздуха, газоснабжение и освещение | 2.1.5. Строительные материалы и изделия | 2.1.7. Технология и организация строительства | 2.1.9. Строительная механика | 2.1.11. Теория и история архитектуры, реставрация и реконструкция историко- архитектурного наследия | 2.1.12. Архитектура зданий и сооружений. Творческие концепции архитектурной деятельности | 2.1.13. Градостроительство, планировка сельских населенных пунктов | 5.6.6. История науки и техники || с 28.12.2018: 17.00.04 – Изобразительное и","17.00.04 | 2.1.1 | 2.1.11 | 2.1.12 | 2.1.13 | 2.1.2 | 2.1.3 | 2.1.5 | 2.1.7 | 2.1.9 | 5.6.6"
3,"2541-9420","Acta biomedica scientifica (перевод наименования на государственный язык Российской Федерации: Научный биомедицинский журнал) (До 02.10.2017 г. наименование в Перечне «Бюллетень Восточно-Сибирского научного центра СО РАМН (Bulletin of the East Siberian Scientific Center SB RAMS"" ISSN 1811-0649)","Acta biomedica scientifica","(перевод наименования на государственный язык Российской Федерации: Научный биомедицинский журнал)","с 01.02.2022: 3.1.21. Педиатрия | 3.1.22. Инфекционные болезни | 3.1.24. Неврология | 3.1.26. Фтизиатрия | 3.1.4. Акушерство и гинекология | 3.1.5. Офтальмология | 3.1.8. Травматология и ортопедия | 3.1.9. Хирургия | 3.2.2. Эпидемиология | 3.3.3. Патологическая физиология | 3.3.6. Фармакология, клиническая фармакология","3.1.21 | 3.1.22 | 3.1.24 | 3.1.26 | 3.1.4 | 3.1.5 | 3.1.8 | 3.1.9 | 3.2.2 | 3.3.3 | 3.3.6"
4,"2306-5737","Acta Linguistica Petropolitana. Труды Института лингвистических исследований РАН","Acta Linguistica Petropolitana. Труды Института лингвистических исследований РАН",NA,"по 16.10.2022: 10.02.01 – Русский язык | 10.02.03 – Славянские языки | 10.02.04 – Германские языки | 10.02.19 – Теория языка | 10.02.20 – Сравнительно-историческое типологическое и сопоставительное языкознание | 10.02.22 – Языки народов зарубежных стран Европы, Азии, Африки, аборигенов Америки и Австралии || с 01.02.2022: 5.6.4. Этнология, антропология и этнография | 5.9.4. Фольклористика | 5.9.7. Классическая, византийская и новогреческая филология || с 28.12.2018: 10.01.01 – Русская литература","10.01.01 | 10.02.01 | 10.02.03 | 10.02.04 | 10.02.19 | 10.02.20 | 10.02.22 | 5.6.4 | 5.9.4 | 5.9.7"
5,"2413-4864","Acta medica Eurasica (перевод наименования на государственный язык Российской Федерации: Медицинский вестник Евразии)","Acta medica Eurasica","(перевод наименования на государственный язык Российской Федерации: Медицинский вестник Евразии)","с 17.06.2022: 1.5.22. Клеточная биология | 3.1.7. Стоматология | 3.1.17. Психиатрия и наркология | 3.1.18. Внутренние болезни | 3.1.25. Лучевая диагностика | 3.3.6. Фармакология, клиническая фармакология","1.5.22 | 3.1.17 | 3.1.18 | 3.1.25 | 3.1.7 | 3.3.6"
6,"2687-1653","Advanced Engineering Research (перевод наименования на государственный язык Российской Федерации: Современные инженерные исследования) (до 22.12.2020 наименование в Перечне «Вестник Донского государственного технического университета» ISSN 1992-5980)","Advanced Engineering Research","(перевод наименования на государственный язык Российской Федерации: Современные инженерные исследования)","по 16.10.2022: 01.02.06 – Динамика, прочность машин, приборов и аппаратуры | 05.02.02 – Машиноведение системы приводов и детали машин | 05.02.11 – Методы контроля и диагностика в машиностроении | 05.13.17 – Теоретические основы информатики || с 01.02.2022: 1.1.8. Механика деформируемого твердого тела | 1.2.2. Математическое моделирование, численные методы и комплексы программ | 2.3.5. Математическое и программное обеспечение вычислительных систем, комплексов и компьютерных сетей | 2.5.3. Трение и износ в машинах | 2.5.5. Технология и оборудование механической и физико-технической обработки | 2.5.6. Технология машиностроения | 2.5.8. Сварка, родственные процессы и технологии || с 28.12.2018: 01.02.01 – Теоретическая механика","01.02.01 | 01.02.06 | 05.02.02 | 05.02.11 | 05.13.17 | 1.1.8 | 1.2.2 | 2.3.5 | 2.5.3 | 2.5.5 | 2.5.6 | 2.5.8"
7,"2409-5087","Advances in Law Studies (перевод наименования на государственный язык Российской Федерации: Достижения в праве)","Advances in Law Studies","(перевод наименования на государственный язык Российской Федерации: Достижения в праве)","по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.14 – Административное право; административный процесс || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.14"
8,"2658-5553","AlfaBuild (перевод наименование на государственный язык Российской Федерации: Основы строительства)","AlfaBuild","(перевод наименование на государственный язык Российской Федерации: Основы строительства)","с 01.02.2022: 2.1.1. Строительные конструкции, здания и сооружения | 2.1.2. Основания и фундаменты, подземные сооружения | 2.1.5. Строительные материалы и изделия","2.1.1 | 2.1.2 | 2.1.5"
9,"1026-955X","Alma mater (Вестник высшей школы)","Alma mater","(Вестник высшей школы)","с 01.02.2022: 5.4.4. Социальная структура, социальные институты и процессы | 5.4.5. Политическая социология | 5.4.7. Социология управления | 5.7.6. Философия науки и техники | 5.7.7. Социальная и политическая философия","5.4.4 | 5.4.5 | 5.4.7 | 5.7.6 | 5.7.7"
10,"2782-6201","AlterEconomics (перевод наименования на государственный язык Российской Федерации: АльтерЭкономика) (до 20.07.2022 наименование в Перечне «Журнал экономической теории» ISSN 2073-6517)","AlterEconomics","(перевод наименования на государственный язык Российской Федерации: АльтерЭкономика)","по 16.10.2022: 08.00.13 – Математические и инструментальные методы экономики || с 01.02.2022: 5.2.1. Экономическая теория | 5.2.4. Финансы || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 08.00.13 | 5.2.1 | 5.2.4"
11,"2218-9173","Ars Administrandi (перевод наименование на государственный язык Российской Федерации: Искусство управления)","Ars Administrandi","(перевод наименование на государственный язык Российской Федерации: Искусство управления)","по 16.10.2022: 23.00.05 – Политическая регионалистика. Этнополитика || с 01.022022: 5.5.2. Политические институты, процессы, технологии || с 28.12.2018: 23.00.01 – Теория и философия","23.00.01 | 23.00.05 | 5.5.2"
12,"2411-6262","Baikal Research Journal (перевод наименование на государственный язык Российской Федерации: Байкальский научный журнал)","Baikal Research Journal","(перевод наименование на государственный язык Российской Федерации: Байкальский научный журнал)","по 16.10.2022: 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 19.00.05 – Социальная психология || с 01.02.2022: 5.2.4. Финансы | 5.3.1. Общая психология, психология личности, история психологии || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 12.00.08 | 19.00.05 | 5.2.4 | 5.3.1"
13,"2713-1629","BENEFICIUM (перевод наименование на государственный язык Российской Федерации: БЕНЕФИЦИУМ)","BENEFICIUM","(перевод наименование на государственный язык Российской Федерации: БЕНЕФИЦИУМ)","с 25.12.2020: 08.00.05 – Экономика и управление","08.00.05"
14,"2542-2154","Biological Communications (перевод наименование на государственный язык Российской Федерации: Биологические сообщения) (До  09.08.2018 г. наименование в Перечне Вестник Санкт- Петербургского университета. Серия 3. Биология ISSN 1025-8604)","Biological Communications","(перевод наименование на государственный язык Российской Федерации: Биологические сообщения)","по 16.10.2022: 03.01.08 – Биоинженерия || с 01.02.2022: 1.5.2. Биофизика | 1.5.3. Молекулярная биология | 1.5.4. Биохимия | 1.5.5. Физиология человека и животных | 1.5.7. Генетика | 1.5.8. Математическая биология, биоинформатика | 1.5.9. Ботаника | 1.5.12. Зоология | 1.5.13. Ихтиология | 1.5.14. Энтомология | 1.5.16. Гидробиология | 1.5.19. Почвоведение | 1.5.21. Физиология и биохимия растений | 1.5.22. Клеточная биология | 1.5.23. Биология развития, эмбриология || с 26.03.2019: 03.01.07 – Молекулярная генетика","03.01.07 | 03.01.08 | 1.5.12 | 1.5.13 | 1.5.14 | 1.5.16 | 1.5.19 | 1.5.2 | 1.5.21 | 1.5.22 | 1.5.23 | 1.5.3 | 1.5.4 | 1.5.5 | 1.5.7 | 1.5.8 | 1.5.9"
15,"2618-7531","Biomedical Chemistry: Research and Methods (перевод наименование на государственный язык Российской Федерации: Биомедицинская химия: исследования и методы)","Biomedical Chemistry: Research and Methods","(перевод наименование на государственный язык Российской Федерации: Биомедицинская химия: исследования и методы)","с 09.02.2022: 1.5.4. Биохимия","1.5.4"
16,"2413-9432","Biomedical Photonics","Biomedical Photonics",NA,"с 01.02.2022: 1.3.19. Лазерная физика | 3.1.6. Онкология, лучевая терапия | 3.1.9. Хирургия","1.3.19 | 3.1.6 | 3.1.9"
17,"2618-6942","BULLETIN OF THE INTERNATIONAL CENTRE OF ART AND EDUCATION (перевод названия на государственный язык Российской Федерации: БЮЛЛЕТЕНЬ МЕЖДУНАРОДНОГО ЦЕНТРА «ИСКУССТВО И ОБРАЗОВАНИЕ»)","BULLETIN OF THE INTERNATIONAL CENTRE OF ART AND EDUCATION","(перевод названия на государственный язык Российской Федерации: БЮЛЛЕТЕНЬ МЕЖДУНАРОДНОГО ЦЕНТРА «ИСКУССТВО И ОБРАЗОВАНИЕ»)","по 16.10.2022: 17.00.09 – Теория и история искусства || с 01.02.2022: 5.8.1. Общая педагогика, история педагогики и образования | 5.8.2. Теория и методика обучения и воспитания | 5.8.7. Методология и технология профессионального образования || с 09.12.2020: 17.00.02 – Музыкальное искусство || с 27.04.2022: 5.10.1. Теория и история культуры, искусства | 5.10.3. Виды искусства","17.00.02 | 17.00.09 | 5.10.1 | 5.10.3 | 5.8.1 | 5.8.2 | 5.8.7"
18,"2221-7185","Cardioсоматика (""Кардиосоматика"")","Cardioсоматика","(""Кардиосоматика"")","с 01.02.2022: 3.1.18. Внутренние болезни | 3.1.20. Кардиология || с 28.12.2018: 14.01.13 – Лучевая диагностика, лучевая","14.01.13 | 3.1.18 | 3.1.20"
19,"2658-5820","Caucasian Science Bridge (перевод названия на государственный язык Росиской Федерации: Кавказский научный мост)","Caucasian Science Bridge","(перевод названия на государственный язык Росиской Федерации: Кавказский научный мост)","с 20.07.2022: 5.4.4. Социальная структура, социальные институты и процессы | 5.4.6. Социология культуры | 5.4.7. Социология управления","5.4.4 | 5.4.6 | 5.4.7"
20,"2222-2154","CATHEDRA – КАФЕДРА. Стоматологическое образование","CATHEDRA – КАФЕДРА. Стоматологическое образование",NA,"с 01.02.2022: 3.1.7. Стоматология | 3.3.6. Фармакология, клиническая фармакология || с 28.12.2018: 14.03.09 – Клиническая иммунология","14.03.09 | 3.1.7 | 3.3.6"
21,"2409-031X","Cloud of science (перевод наименования на государственный язык Российской Федерации: Научное облако)","Cloud of science","(перевод наименования на государственный язык Российской Федерации: Научное облако)","по 16.10.2022: 05.13.17 – Теоретические основы информатики || с 01.02.2022: 2.3.3. Автоматизация и управление технологическими процессами и производствами | 2.3.4. Управление в организационных системах | 5.6.8. Документалистика, документоведение, архивоведение || с 28.12.2018: 05.13.15 – Вычислительные машины","05.13.15 | 05.13.17 | 2.3.3 | 2.3.4 | 5.6.8"
22,"2313-223X","Computational nanotechnology (перевод наименования на государственный язык Российской Федерации: ВЫЧИСЛИТЕЛЬНЫЕ НАНОТЕХНОЛОГИИ)","Computational nanotechnology","(перевод наименования на государственный язык Российской Федерации: ВЫЧИСЛИТЕЛЬНЫЕ НАНОТЕХНОЛОГИИ)","по 16.10.2022: 05.02.11 – Методы контроля и диагностика в машиностроении | 05.02.22 – Организация производства | 05.02.23 – Стандартизация и управление качеством продукции | 05.14.01 – Энергетические системы и комплексы | 05.14.03 – Ядерные энергетические установки, включая проектирование эксплуатацию и вывод из эксплуатации | 05.14.08 – Энергоустановки на основе возобновляемых видов энергии | 05.13.12 – Системы автоматизации проектирования | 05.13.15 – Вычислительные машины, комплексы и компьютерные сети | 05.13.17 – Теоретические основы информатики | 05.13.20 – Квантовые методы обработки информации || по 20.04.2022: 2.5.5. Технология и оборудование механической и физико-технической обработки | 2.5.6. Технология машиностроения | 2.5.7. Технологии и машины обработки давлением | 2.5.8. Сварка, родственные процессы и технологии || с 01.02.2022: 1.2.2. Математическое моделирование, численные методы и комплексы программ | 2.3.1. Системный анализ, управление и обработка информации | 2.3.3. Автоматизация и управление технологическими процессами и производствами | 2.3.4. Управление в организационных системах | 2.3.5. Математическое и программное обеспечение вычислительных систем, комплексов и компьютерных сетей | 2.3.6. Методы и системы защиты информации, информационная безопасность | 2.5.3. Трение и износ в машинах || с 12.02.2019: 05.13.05 – Элементы и устройства || с 15.02.2022: 1.2.1. Искусственный интеллект и машинное обучение | 1.2.2. Математическое моделирование, численные методы и комплексы программ | 1.2.3. Теоретическая информатика, кибернетика | 1.2.4. Кибербезопасность | 2.3.1. Системный анализ, управление и обработка информации | 2.3.2. Вычислительные системы и их элементы | 2.3.5. Математическое и программное обеспечение вычислительных систем, комплексов и компьютерных сетей | 2.3.6. Методы и системы защиты информации, информационная безопасность | 2.3.7. Компьютерное моделирование и автоматизация проектирования | 2.3.8. Информатика и информационные процессы | 2.6.6. Нанотехнологии и наноматериалы || с 28.12.2018: 05.02.02 – Машиноведение системы","05.02.02 | 05.02.11 | 05.02.22 | 05.02.23 | 05.13.05 | 05.13.12 | 05.13.15 | 05.13.17 | 05.13.20 | 05.14.01 | 05.14.03 | 05.14.08 | 1.2.1 | 1.2.2 | 1.2.2 | 1.2.3 | 1.2.4 | 2.3.1 | 2.3.1 | 2.3.2 | 2.3.3 | 2.3.4 | 2.3.5 | 2.3.5 | 2.3.6 | 2.3.6 | 2.3.7 | 2.3.8 | 2.5.3 | 2.5.5 | 2.5.6 | 2.5.7 | 2.5.8 | 2.6.6"
23,"1997-9347","Сomponents of scientific and technological progress","Сomponents of scientific and technological progress",NA,"по 16.10.2022: 05.02.22 – Организация производства | 05.02.23 – Стандартизация и управление качеством продукции | 08.00.05 – Экономика и управление народным хозяйством | 08.00.12 – Бухгалтерский учет, статистика | 08.00.13 – Математические и инструментальные методы экономики || с 01.02.2022: 2.1.1. Строительные конструкции, здания и сооружения | 2.1.3. Теплоснабжение, вентиляция, кондиционирование воздуха, газоснабжение и освещение | 2.1.7. Технология и организация строительства | 2.1.10. Экологическая безопасность строительства и городского хозяйства | 2.1.11. Теория и история архитектуры, реставрация и реконструкция историко- архитектурного наследия | 2.1.13. Градостроительство, планировка сельских населенных пунктов | 5.2.4. Финансы | 5.2.5. Мировая экономика || с 02.12.2019: 05.02.13 – Машины, агрегаты и","05.02.13 | 05.02.22 | 05.02.23 | 08.00.05 | 08.00.12 | 08.00.13 | 2.1.1 | 2.1.10 | 2.1.11 | 2.1.13 | 2.1.3 | 2.1.7 | 5.2.4 | 5.2.5"
24,"2075-1753","Consilium Medicum (""Врачебный консилиум"")","Consilium Medicum","(""Врачебный консилиум"")","с 01.02.2022: 3.1.3. Оториноларингология | 3.1.9. Хирургия | 3.1.13. Урология и андрология | 3.1.18. Внутренние болезни | 3.1.19. Эндокринология | 3.1.20. Кардиология | 3.1.24. Неврология | 3.1.26. Фтизиатрия | 3.1.27. Ревматология | 3.1.29. Пульмонология | 3.1.31. Геронтология и гериатрия | 3.1.4. Акушерство и гинекология | 3.1.23. Дерматовенерология || с 13.10.2022: 3.2.7. Аллергология и иммунология || с 25.05.2022: 3.1.1. Рентгенэндоваскулярная хирургия | 3.1.6. Онкология, лучевая терапия | 3.1.25. Лучевая диагностика | 3.1.30. Гастроэнтерология и диетология | 3.1.32. Нефрология || с 28.12.2018: 14.01.28 – Гастроэнторология","14.01.28 | 3.1.1 | 3.1.13 | 3.1.18 | 3.1.19 | 3.1.20 | 3.1.23 | 3.1.24 | 3.1.25 | 3.1.26 | 3.1.27 | 3.1.29 | 3.1.3 | 3.1.30 | 3.1.31 | 3.1.32 | 3.1.4 | 3.1.6 | 3.1.9 | 3.2.7"
25,"2687-0894","Construction and Geotechnics (перевод наименования на государственный язык Российской Федерации: Строительство и геотехника) (до 22.12.2020 наименование в Перечне «Вестник Пермского национального исследовательского политехнического университета. Строительство и архитектура» ISSN 2224-9826)","Construction and Geotechnics","(перевод наименования на государственный язык Российской Федерации: Строительство и геотехника)","с 01.02.2022: 2.1.2. Основания и фундаменты, подземные сооружения | 2.1.3. Теплоснабжение, вентиляция, кондиционирование воздуха, газоснабжение и освещение | 2.1.4. Водоснабжение, канализация, строительные системы охраны водных ресурсов | 2.1.5. Строительные материалы и изделия | 2.1.7. Технология и организация строительства | 2.1.8. Проектирование и строительство дорог, метрополитенов, аэродромов, мостов и транспортных тоннелей | 2.1.9. Строительная механика | 2.1.10. Экологическая безопасность строительства и городского хозяйства","2.1.10 | 2.1.2 | 2.1.3 | 2.1.4 | 2.1.5 | 2.1.7 | 2.1.8 | 2.1.9"
26,"2500-1957","Continium. Математика. Информатика. Образование","Continium. Математика. Информатика. Образование",NA,"с 22.10.2021: 5.8.2. Теория и методика обучения и воспитания | 5.8.7. Методология и технология профессионального образования","5.8.2 | 5.8.7"
27,"2077-6632","Dental Forum (перевод названия на государственный язык Российской Федерации: Форум стоматологии)","Dental Forum","(перевод названия на государственный язык Российской Федерации: Форум стоматологии)","с 01.02.2022: 3.1.7. Стоматология","3.1.7"
28,"2658-4670","Discrete and Continuous Models and Applied Computational Science (до 31.01.2020 наименование в Перечне «Вестник Российского университета дружбы народов. Серия ""Математика. Информатика. Физика""» ISSN 2312-9743)","Discrete and Continuous Models and Applied Computational Science","(до 31.01.2020 наименование в Перечне «Вестник Российского университета дружбы народов. Серия ""Математика. Информатика. Физика""» ISSN 2312-9743)","с 01.02.2022: 1.2.2. Математическое моделирование, численные методы и комплексы программ | 1.3.3. Теоретическая физика || с 28.12.2018: 05.13.17 – Теоретические основы","05.13.17 | 1.2.2 | 1.3.3"
29,"2658-3445","E-Management","E-Management",NA,"с 23.11.2021: 5.2.3. Региональная и отраслевая экономика | 5.2.5. Мировая экономика | 5.2.6. Менеджмент","5.2.3 | 5.2.5 | 5.2.6"
30,"2686-6846","EDUCATIONAL BULLETIN «CONSCIOUSNESS» / «ОБРАЗОВАТЕЛЬНЫЙ ВЕСТНИК «СОЗНАНИЕ» (до 15.10.2019 г. наименование в Перечне «Электронный научно-образовательный Вестник ""Здоровье и образование в XXI веке"" ISSN 2226-7417)","EDUCATIONAL BULLETIN «CONSCIOUSNESS» / «ОБРАЗОВАТЕЛЬНЫЙ ВЕСТНИК «СОЗНАНИЕ»","(до 15.10.2019 г. наименование в Перечне «Электронный научно-образовательный Вестник ""Здоровье и образование в XXI веке"" ISSN 2226-7417)","по 16.10.2022: 19.00.13 – Психология развития, акмеология || с 01.02.2022: 5.3.1. Общая психология, психология личности, история психологии | 5.3.3. Психология труда, инженерная психология, когнитивная эргономика | 5.3.4. Педагогическая психология, психодиагностика цифровых образовательных сред | 5.8.1. Общая педагогика, история педагогики и образования | 5.8.2. Теория и методика обучения и воспитания | 5.8.7. Методология и технология профессионального образования || с 23.09.2022: 5.3.5. Социальная психология, политическая и экономическая психология | 5.3.7. Возрастная психология | 5.8.5. Теория и методика спорта | 5.10.1. Теория и история культуры, искусства || с 28.12.2018: 13.00.05 – Теория, методика и","13.00.05 | 19.00.13 | 5.10.1 | 5.3.1 | 5.3.3 | 5.3.4 | 5.3.5 | 5.3.7 | 5.8.1 | 5.8.2 | 5.8.5 | 5.8.7"
31,"1811-833X","Epistemology & Philosophy of Sciences /Эпистемология и философия науки","Epistemology & Philosophy of Sciences /Эпистемология и философия науки",NA,"с 01.02.2022: 5.7.1. Онтология и теория познания | 5.7.6. Философия науки и техники | 5.7.8. Философская антропология, философия культуры","5.7.1 | 5.7.6 | 5.7.8"
32,"2079-5513","European Social Science Journal (""Европейский журнал социальных наук"")","European Social Science Journal","(""Европейский журнал социальных наук"")","по 16.10.2022: 08.00.12 – Бухгалтерский учет, статистика | 08.00.13 – Математические и инструментальные методы экономики | 13.00.04 – Теория и методика физического воспитания, спортивной тренировки, оздоровительной и адаптивной физической культуры | 13.00.05 – Теория, методика и организация социально-культурной деятельности | 19.00.04 – Медицинская психология | 19.00.05 – Социальная психология | 19.00.12 – Политическая психология | 19.00.13 – Психология развития, акмеология || с 01.02.2022: 5.2.1. Экономическая теория | 5.2.4. Финансы | 5.2.5. Мировая экономика | 5.3.1. Общая психология, психология личности, история психологии | 5.3.2. Психофизиология | 5.3.3. Психология труда, инженерная психология, когнитивная эргономика | 5.3.4. Педагогическая психология, психодиагностика цифровых образовательных сред | 5.3.8. Коррекционная психология и дефектология | 5.3.9. Юридическая психология и психология безопасности | 5.8.1. Общая педагогика, история педагогики и образования | 5.8.2. Теория и методика обучения и воспитания | 5.8.3. Коррекционная педагогика | 5.8.7. Методология и технология профессионального образования || с 28.12.2018: 08.00.05 – Экономика и управление","08.00.05 | 08.00.12 | 08.00.13 | 13.00.04 | 13.00.05 | 19.00.04 | 19.00.05 | 19.00.12 | 19.00.13 | 5.2.1 | 5.2.4 | 5.2.5 | 5.3.1 | 5.3.2 | 5.3.3 | 5.3.4 | 5.3.8 | 5.3.9 | 5.8.1 | 5.8.2 | 5.8.3 | 5.8.7"
33,"2310-3825","Folia Otorhinolaryngologiae et Pathologiae Respiratoriae (Журнал оториноларингологии и респираторной патологии)","Folia Otorhinolaryngologiae et Pathologiae Respiratoriae","(Журнал оториноларингологии и респираторной патологии)","с 01.02.2022: 3.1.3. Оториноларингология","3.1.3"
34,"2619-0648","Ex Jure (перевод наименования на государственный язык Российской Федерации: По закону)","Ex Jure","(перевод наименования на государственный язык Российской Федерации: По закону)","по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.05 – Трудовое право; право социального обеспечения | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.14 – Административное право; административный процесс | 12.00.15 – Гражданский процесс; арбитражный процесс || с 04.02.2020: 12.00.01 – Теория и история права || с 30.06.2022: 5.1.1. Теоретико-исторические правовые науки | 5.1.2. Публично-правовые | 5.1.3. Частно-правовые | 5.1.4. Уголовно-правовые науки","12.00.01 | 12.00.02 | 12.00.03 | 12.00.05 | 12.00.08 | 12.00.09 | 12.00.14 | 12.00.15 | 5.1.1 | 5.1.2 | 5.1.3 | 5.1.4"
35,"2409-868X","Genesis: исторические исследования (перевод наименования на государственный язык Российской Федерации: Генезис: исторические исследования)","Genesis: исторические исследования","(перевод наименования на государственный язык Российской Федерации: Генезис: исторические исследования)","по 16.10.2022: 12.00.02 – Конституционное право; конституционный судебный процесс; муниципальное право | 12.00.03 – Гражданское право; предпринимательское право; семейное право; международное частное право | 12.00.04 – Финансовое право; налоговое право; бюджетное право | 12.00.05 – Трудовое право; право социального обеспечения | 12.00.06 – Земельное право; природоресурсное право; экологическое право; аграрное право | 12.00.07 – Корпоративное право; конкурентное право; энергетическое право | 12.00.08 – Уголовное право и криминология; уголовно- исполнительное право | 12.00.09 – Уголовный процесс | 12.00.10 – Международное право; Европейское право | 12.00.11 – Судебная деятельность, прокурорская деятельность, правозащитная и правоохранительная деятельность | 12.00.12 – Криминалистика; судебно- экспертная деятельность; оперативно- розыскная деятельность | 12.00.13 – Информационное право | 12.00.14 – Административное право; административный процесс | 12.00.15 – Гражданский процесс; арбитражный процесс | 24.00.01 – Теория и история культуры || с 01.02.2022: 5.6.1. Отечественная история | 5.6.2. Всеобщая история | 5.6.4. Этнология, антропология и этнография | 5.6.6. История науки и техники | 5.10.2. Музееведение, консервация и реставрация историко-культурных объектов || с 28.12.2018: 12.00.01 – Теория и история права и","12.00.01 | 12.00.02 | 12.00.03 | 12.00.04 | 12.00.05 | 12.00.06 | 12.00.07 | 12.00.08 | 12.00.09 | 12.00.10 | 12.00.11 | 12.00.12 | 12.00.13 | 12.00.14 | 12.00.15 | 24.00.01 | 5.10.2 | 5.6.1 | 5.6.2 | 5.6.4 | 5.6.6"
36,"2310-5194","Head and Neck / Голова и шея. Российское издание. Журнал Общероссийской общественной организации ""Федерация специалистов по лечению заболеваний головы и шеи""","Head and Neck / Голова и шея. Российское издание. Журнал Общероссийской общественной организации ""Федерация специалистов по лечению заболеваний головы и шеи""",NA,"с 01.02.2022: 3.1.3. Оториноларингология | 3.1.5. Офтальмология | 3.1.6. Онкология, лучевая терапия | 3.1.7. Стоматология | 3.1.9. Хирургия | 3.1.10. Нейрохирургия | 3.1.16. Пластическая хирургия | 3.1.19. Эндокринология | 3.1.23. Дерматовенерология","3.1.10 | 3.1.16 | 3.1.19 | 3.1.23 | 3.1.3 | 3.1.5 | 3.1.6 | 3.1.7 | 3.1.9"
37,"2587-8344","Historia provinciae – журнал региональной истории","Historia provinciae – журнал региональной истории",NA,"с 01.02.2022: 5.6.1. Отечественная история | 5.6.2. Всеобщая история | 5.6.5. Историография, источниковедение, методы исторического исследования | 5.6.7. История международных отношений и внешней политики","5.6.1 | 5.6.2 | 5.6.5 | 5.6.7"
38,"2414-4916","Human Progress (перевод наименования на государственный язык Российской Федерации: Человеческое развитие)","Human Progress","(перевод наименования на государственный язык Российской Федерации: Человеческое развитие)","с 25.12.2020: 08.00.05 – Экономика и управление","08.00.05"
39,"2619-080X","I-methods","I-methods",NA,"с 19.10.2021: 2.2.15. Системы, сети и устройства телекоммуникаций | 2.3.6. Методы и системы защиты информации, информационная безопасность","2.2.15 | 2.3.6"
40,"1524-5845","International Journal for Computation Civil and Structural Engineering (Международный журнал по расчету гражданских и строительных конструкций)","International Journal for Computation Civil and Structural Engineering","(Международный журнал по расчету гражданских и строительных конструкций)","с 01.02.2022: 1.1.8. Механика деформируемого твердого тела | 1.2.2. Математическое моделирование, численные методы и комплексы программ | 2.1.1. Строительные конструкции, здания и сооружения | 2.1.2. Основания и фундаменты, подземные сооружения | 2.1.5. Строительные материалы и изделия | 2.1.9. Строительная механика || с 28.12.2018: 05.23.07 – Гидротехническое","05.23.07 | 1.1.8 | 1.2.2 | 2.1.1 | 2.1.2 | 2.1.5 | 2.1.9"
41,"2328-1391","International Journal of Advanced Studies (Международный журнал перспективных исследований)","International Journal of Advanced Studies","(Международный журнал перспективных исследований)","с 01.02.2022: 2.9.4. Управление процессами перевозок | 2.9.5. Эксплуатация автомобильного транспорта || с 27.06.2022: 2.9.9. Логистические транспортные системы || с 28.12.2018: 05.22.01 – Транспортные и транспортно-","05.22.01 | 2.9.4 | 2.9.5 | 2.9.9"
42,"2658-3313","International Journal of Medicine and Psychology / Международный журнал медицины и психологии","International Journal of Medicine and Psychology / Международный журнал медицины и психологии",NA,"по 16.10.2022: 19.00.13 – Психология развития, акмеология || с 01.02.2022: 3.3.3. Патологическая физиология | 3.3.6. Фармакология, клиническая фармакология | 3.3.8. Клиническая лабораторная диагностика | 5.3.1. Общая психология, психология личности, история психологии | 5.3.3. Психология труда, инженерная психология, когнитивная эргономика | 5.3.4. Педагогическая психология, психодиагностика цифровых образовательных сред || с 04.02.2020: 19.00.05 – Социальная психология","19.00.05 | 19.00.13 | 3.3.3 | 3.3.6 | 3.3.8 | 5.3.1 | 5.3.3 | 5.3.4"
